VIOLATION.PWSID,VIOLATION.VIOLATION_ID,VIOLATION.FACILITY_ID,VIOLATION.POPULATION_SERVED_COUNT,VIOLATION.NPM_CANDIDATE,VIOLATION.PWS_ACTIVITY_CODE,VIOLATION.PWS_DEACTIVATION_DATE,VIOLATION.PRIMARY_SOURCE_CODE,VIOLATION.POP_CAT_5_CODE,VIOLATION.PRIMACY_AGENCY_CODE,VIOLATION.EPA_REGION,VIOLATION.PWS_TYPE_CODE,VIOLATION.VIOLATION_CODE,VIOLATION.VIOLATION_CATEGORY_CODE,VIOLATION.IS_HEALTH_BASED_IND,VIOLATION.CONTAMINANT_CODE,VIOLATION.COMPLIANCE_STATUS_CODE,VIOLATION.VIOL_MEASURE,VIOLATION.UNIT_OF_MEASURE,VIOLATION.STATE_MCL,VIOLATION.IS_MAJOR_VIOL_IND,VIOLATION.SEVERITY_IND_CNT,VIOLATION.COMPL_PER_BEGIN_DATE,VIOLATION.COMPL_PER_END_DATE,VIOLATION.LATEST_ENFORCEMENT_ID,VIOLATION.RTC_ENFORCEMENT_ID,VIOLATION.RTC_DATE,VIOLATION.PUBLIC_NOTIFICATION_TIER,VIOLATION.ORIGINATOR_CODE,VIOLATION.SAMPLE_RESULT_ID,VIOLATION.CORRECTIVE_ACTION_ID,VIOLATION.RULE_CODE,VIOLATION.RULE_GROUP_CODE,VIOLATION.RULE_FAMILY_CODE,X35
PR0653066,10119,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-OCT-10,31-OCT-10,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,10121,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-JAN-11,31-JAN-11,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,10256,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-NOV-10,30-NOV-10,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,10263,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-FEB-11,28-FEB-11,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,10395,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-DEC-10,31-DEC-10,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,10403,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-MAR-11,31-MAR-11,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,10404,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-APR-11,30-APR-11,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,10405,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-JUN-11,30-JUN-11,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11142,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-JUL-11,31-JUL-11,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11282,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-AUG-11,31-AUG-11,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11424,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-SEP-11,30-SEP-11,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11425,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-OCT-11,31-OCT-11,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11426,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-NOV-11,30-NOV-11,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11427,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-DEC-11,31-DEC-11,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11428,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-JAN-12,31-JAN-12,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11429,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-FEB-12,29-FEB-12,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11430,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-MAR-12,31-MAR-12,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11431,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-APR-12,30-APR-12,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11432,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-MAY-12,31-MAY-12,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11433,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-JUN-12,30-JUN-12,3208,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11434,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-JUL-12,31-JUL-12,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11435,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-AUG-12,31-AUG-12,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11436,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-SEP-12,30-SEP-12,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11437,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-OCT-12,31-OCT-12,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11438,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-NOV-12,30-NOV-12,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11439,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-DEC-12,31-DEC-12,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11440,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-JAN-13,31-JAN-13,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11441,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-FEB-13,28-FEB-13,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11442,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-MAR-13,31-MAR-13,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11443,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-APR-13,30-APR-13,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11444,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-MAY-13,31-MAY-13,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11445,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-JUN-13,30-JUN-13,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11446,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-JUL-13,31-JUL-13,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11447,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-AUG-13,31-AUG-13,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11448,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-SEP-13,30-SEP-13,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11449,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-OCT-13,31-OCT-13,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11450,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-NOV-13,30-NOV-13,3214,NA,NA,3,S,NA,NA,110,100,110,NA
PR0653066,11451,NA,400,N,A,NA,SW,1,PR,02,CWS,23,MR,N,3100,K,NA,NA,NA,NA,NA,01-DEC-13,31-DEC-13,3214,NA,NA,3,S,NA,NA,110,100,110,NA
