Water_SYSTEM.PWSID,Water_SYSTEM.PWS_NAME,Water_SYSTEM.NPM_CANDIDATE,Water_SYSTEM.PRIMACY_AGENCY_CODE,Water_SYSTEM.EPA_REGION,Water_SYSTEM.SEASON_BEGIN_DATE,Water_SYSTEM.SEASON_END_DATE,Water_SYSTEM.PWS_ACTIVITY_CODE,Water_SYSTEM.PWS_DEACTIVATION_DATE,Water_SYSTEM.PWS_TYPE_CODE,Water_SYSTEM.DBPR_SCHEDULE_CAT_CODE,Water_SYSTEM.CDS_ID,Water_SYSTEM.GW_SW_CODE,Water_SYSTEM.LT2_SCHEDULE_CAT_CODE,Water_SYSTEM.OWNER_TYPE_CODE,Water_SYSTEM.POPULATION_SERVED_COUNT,Water_SYSTEM.POP_CAT_2_CODE,Water_SYSTEM.POP_CAT_3_CODE,Water_SYSTEM.POP_CAT_4_CODE,Water_SYSTEM.POP_CAT_5_CODE,Water_SYSTEM.POP_CAT_11_CODE,Water_SYSTEM.PRIMACY_TYPE,Water_SYSTEM.PRIMARY_SOURCE_CODE,Water_SYSTEM.IS_GRANT_ELIGIBLE_IND,Water_SYSTEM.IS_WHOLESALER_IND,Water_SYSTEM.IS_SCHOOL_OR_DAYCARE_IND,Water_SYSTEM.SERVICE_CONNECTIONS_COUNT,Water_SYSTEM.SUBMISSION_STATUS_CODE,Water_SYSTEM.ORG_NAME,Water_SYSTEM.ADMIN_NAME,Water_SYSTEM.EMAIL_ADDR,Water_SYSTEM.PHONE_NUMBER,Water_SYSTEM.PHONE_EXT_NUMBER,Water_SYSTEM.FAX_NUMBER,Water_SYSTEM.ALT_PHONE_NUMBER,Water_SYSTEM.ADDRESS_LINE1,Water_SYSTEM.ADDRESS_LINE2,Water_SYSTEM.CITY_NAME,Water_SYSTEM.ZIP_CODE,Water_SYSTEM.COUNTRY_CODE,Water_SYSTEM.STATE_CODE,Water_SYSTEM.SOURCE_WATER_PROTECTION_CODE,Water_SYSTEM.SOURCE_PROTECTION_BEGIN_DATE,Water_SYSTEM.OUTSTANDING_PERFORMER,Water_SYSTEM.OUTSTANDING_PERFORM_BEGIN_DATE,Water_SYSTEM.CITIES_SERVED,Water_SYSTEM.COUNTIES_SERVED,X48
PR0653066,ACUEDUCTO LOMAS DEL VIENTO-MAIZALES,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,L,400,1,1,1,1,2,Territory,SW,Y,N,N,100,Y,ACUEDUCTO LOMAS DEL VIENTO-MAIZALES,ACUEDUCTO LOMAS DEL VIENTO-MAIZALES,NA,787-690-0827,NA,NA,NA,CARR. 969 BO. MAIZALES,SECTOR LA LOMA,NAGUABO,00717,US,PR,NA,NA,NA,NA,NAGUABO,Naguabo Municipio,NA
PR0303023,ACUEDUCTO INSTITUCION CORRECIONAL GUERRE,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,L,1100,1,1,1,2,4,Territory,GW,Y,N,N,1,Y,ACUEDUCTO INSTITUCIONAL CORRECIONAL GUER,ACUEDUCTO INSTITUCIONAL CORRECIONAL GUER,NA,787-882-2021,NA,787-891-5020,NA,CARR. 466 INTERIOR,BARRIO GUERRERO,AGUADILLA,00603,US,PR,NA,NA,NA,NA,AGUADILLA,Aguadilla Municipio,NA
PR0521135,"CARIBBEAN REFRESCOS, INC. (WW-01)",Y,PR,02,01-01,12-31,A,NA,NTNCWS,NA,NA,GW,NA,L,420,1,1,1,1,2,Territory,GW,Y,N,N,1,Y,CARRIBBEAN REFRESCOS,CARRIBBEAN REFRESCOS,NA,787-739-8452,NA,787-434-2786,NA,CARR. 172 KM 13.4,AVE. INDUSTRIAL EL JIBARO,CIDRA,00739-1999,US,PR,NA,NA,NA,NA,CIDRA,Cidra Municipio,NA
PR0132071,"EL DIA, INC",Y,PR,02,01-01,12-31,A,NA,NTNCWS,NA,NA,GW,NA,L,1100,1,1,1,2,4,Territory,GW,Y,N,N,1,Y,EL DIA,EL DIA,NA,787-641-8000,2745,NA,NA,LOTE 11 Y 12,AMELIA INDUSTRIAL PARK,GUAYNABO,00906-7512,US,PR,NA,NA,NA,NA,GUAYNABO,Guaynabo Municipio,NA
PR0272262,VEGUITA,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,P,300,1,1,1,1,2,Territory,SW,Y,N,N,75,Y,VEGUITA,VEGUITA,NA,787-620-2277,NA,NA,NA,CARR. 527 KM. 1.7 INT.,NA,JAYUYA,00664,US,PR,N,NA,NA,NA,UTUADO,Utuado Municipio,NA
PR0238082,VEGUITAS GRIPINAS,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,P,130,1,1,1,1,2,Territory,SW,Y,N,N,33,Y,VEGUITAS GRIPINAS,VEGUITAS GRIPINAS,NA,787-   -,NA,NA,NA,BO.VEGUITAS GRIPINAS,CARR.527 KM.2.3 (CAMINO INT.),JAYUYA,00664,US,PR,N,NA,NA,NA,JAYUYA,Jayuya Municipio,NA
PR0476064,VILLA BLANCA,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,306,1,1,1,1,2,Territory,GW,Y,N,N,200,Y,VILLA BLANCA,VILLA BLANCA,NA,787-847-9361,NA,NA,NA,CARR. 149 KM. 55.1,BO. PALMAREJO,VILLALBA,00766,US,PR,N,NA,NA,NA,VILLALBA,Villalba Municipio,NA
PR0003924,VILLALBA URBANO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,L,3698,1,2,1,3,5,Territory,SW,Y,N,N,10032,Y,VILLALBA URBANO,VILLALBA URBANO,NA,787-620-2277,NA,NA,NA,CARR.149 R513  HM 9,NA,VILLALBA,00766,US,PR,N,NA,NA,NA,"PONCE,VILLALBA",Villalba Municipio,NA
PR0476154,VISTA ALEGRE,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,P,340,1,1,1,1,2,Territory,SW,Y,N,N,85,Y,VISTA ALEGRE,VISTA ALEGRE,NA,787-847-3706,NA,NA,NA,CARR. 561 KM. 3.4,SECTOR VISTA ALEGRE BO. VACAS,VILLALBA,00766,US,PR,N,NA,NA,NA,VILLALBA,Villalba Municipio,NA
PR0272012,VIVI ABAJO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,P,57,1,1,1,1,1,Territory,SW,Y,N,N,10,Y,VIVI ABAJO,VIVI ABAJO,NA,787-894-0319,NA,NA,NA,CARR.111 KM.2.1 INT,BO.VIVI ABAJO FCA. ANGEL MATOS,UTUADO,00641,US,PR,N,NA,NA,NA,UTUADO,Utuado Municipio,NA
